"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","43864354","OMOP718034","0.5 ML Memantine 10 MG/ML Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43791813","OMOP718039","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Abz]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43755994","OMOP718040","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Abz] by AbZ-Pharma","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43702206","OMOP718037","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Ratiopharm]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43719911","OMOP718038","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Ratiopharm] by Ratiopharm","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43630136","OMOP718035","0.5 ML Memantine 10 MG/ML Oral Solution [Zolmemin]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","43666324","OMOP718036","0.5 ML Memantine 10 MG/ML Oral Solution [Zolmemin] by NEL","Marketed Product","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","21137754","OMOP323938","100000 MG Memantine 0.01 MG/MG Oral Solution","Quant Clinical Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","41516026","OMOP2713988","100000 MG Memantine 0.01 MG/MG Oral Solution [Axura]","Quant Branded Drug","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
"","41513506","OMOP2711468","100000 MG Memantine 0.01 MG/MG Oral Solution [Axura] Box of 200","Quant Branded Box","Standard","08/23/2017","12/30/2099","0","0","0","0","Drug","RxNorm Extension","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'memantine'"">1"
